Con1	S1_1	S2_4	Con2	S2_2	S2_3	S5_1	E4_1	E4_3	S4_4	E5_2	N3_3	E4_2	E3_1	N3_2	S4_1	E3_4	E7_4	E5_3	E7_3	N6_4	N6_3	N3_1	S6_3	S5_3	E5_1	Con4	E3_2	E7_2	S6_4	S7_4	S4_3	S7_1	S1_2	S6_1	S1_4	S7_3	S5_4	N6_2
name48	0	0	6.51720542231491e-05	0	3.25860271115746e-05	0	3.25860271115746e-05	0	0	0	0	0.00215067778936392	0	0	9.77580813347237e-05	3.25860271115746e-05	0	0	0	0	0.000162930135557873	0.000130344108446298	3.25860271115746e-05	0	0	0	3.25860271115746e-05	0	0	0	0	0	0	0	0	0	0	0	0
name49	0	0.000423618352450469	0.00228102189781022	3.25860271115746e-05	9.77580813347237e-05	0	0	0	0	0	6.51720542231491e-05	0	0	0	0	0	0	0	0.000130344108446298	0	0	0.000423618352450469	0	0	0	9.77580813347237e-05	3.25860271115746e-05	0	0	3.25860271115746e-05	0	0.000162930135557873	0	0.000130344108446298	0	0.00593065693430657	0	0	0
name50	0	3.25860271115746e-05	0	0	0	0	0	0	0	0	0	0	0	3.25860271115746e-05	0	0	3.25860271115746e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.51720542231491e-05	0	6.51720542231491e-05	0	0	0
name51	0.0315106882168926	0.126303441084463	0.155924139728884	0.0311522419186653	0.178897288842544	0.17446558915537	0.205422314911366	0.196591501564129	0.0484880083420229	0.113138686131387	0.232175443169969	0.0576120959332638	0.101440302398332	0.0320972367049009	0.161887382690302	0.101375130344108	0.112226277372263	0.537962721584984	0.229340458811262	0.477808915537018	0.297119395203337	0.0575795099061522	0.0472171532846715	0.26779197080292	0.189129301355579	0.265217674661105	0.0190954118873827	0.0675182481751825	0.345151199165798	0.273624869655892	0.0751107924921793	0.0928050052137643	0.0326837851929093	0.116234358706986	0.177789363920751	0.0784997393117831	0.0588503649635036	0.13308133472367	0.110075599582899
name52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.25860271115746e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
name53	0.000651720542231491	0.00133602711157456	0.00723409801876955	0.00286757038581856	0.00250912408759124	0.00104275286757039	0.00133602711157456	0.00071689259645464	0.00035844629822732	0.000619134515119917	0.00175964546402503	0.0146962982273201	0.000228102189781022	0.000586548488008342	0.0136209593326382	0.00254171011470282	0.000782064650677789	0.000782064650677789	0.00273722627737226	0.00035844629822732	0.00312825860271116	0.000260688216892596	0.0141423357664234	0.00169447340980188	0.00299791449426486	0.000944994786235662	0.00286757038581856	0.00208550573514077	0.000684306569343066	0.00159671532846715	0.0056373826903024	0.000260688216892596	0.00443169968717414	9.77580813347237e-05	0.000586548488008342	0.00423618352450469	0.00228102189781022	0.00101016684045881	9.77580813347237e-05
name54	0	0	3.25860271115746e-05	0	0	0	0	0.000260688216892596	6.51720542231491e-05	0	0	0	0	0	3.25860271115746e-05	0	0	3.25860271115746e-05	0	0	0	0	0	0	3.25860271115746e-05	3.25860271115746e-05	0	0	0	0	0	0	0	0	0	0	0	0	0
name55	0.0359749739311783	0.0291319082377477	0.00759254431699687	0.0368222106360792	0.0161952554744526	0.0234293534932221	0.0763816475495308	0.0487486965589155	0.0353558394160584	0.024276590198123	0.0458159541188738	0.00237877997914494	0.15748826903024	0.030174661105318	0.00580031282586027	0.0493026590198123	0.0461744004171011	0.0118287278415016	0.0276655370177268	0.0231360792492179	0.00684306569343066	0.0038451511991658	0.00234619395203337	0.0460114702815433	0.0310870698644421	0.0526916058394161	0.0112747653806048	0.0180526590198123	0.0175312825860271	0.0303375912408759	0.0103623566214807	0.035616527632951	0.0495633472367049	0.0213764337851929	0.030174661105318	0.00410583941605839	0.0149244004171011	0.0328793013555787	0.00850495307612096
name56	0.0108837330552659	0.00156412930135558	0.00553962460896767	0.0140119916579771	0.00860271115745568	0.0113399374348279	0.0134580291970803	0.0052463503649635	0.0057677267987487	0.00361704900938478	0.0215393639207508	0.0656608446298227	0.000162930135557873	0.0427854535974974	0.0178245568300313	0.00296532846715328	0.00149895724713243	0.00335636079249218	0.0112421793534932	0.00423618352450469	0.0121871741397289	0.00130344108446298	0.0127737226277372	0.00211809176225235	0.0216697080291971	0.0245372784150156	0.016162669447341	0.0128714807090719	0.01531543274244	0.00244395203336809	0.0149569864442127	0.00110792492179353	0.0666710114702815	0.00736444212721585	0.00224843587069864	0.0232338373305527	0.0374087591240876	0.0304027632950991	0.000944994786235662
name57	0.000325860271115746	6.51720542231491e-05	0.000162930135557873	0.000456204379562044	9.77580813347237e-05	0.000260688216892596	0.000130344108446298	9.77580813347237e-05	0	0.000228102189781022	6.51720542231491e-05	0.000260688216892596	9.77580813347237e-05	0	6.51720542231491e-05	0.000423618352450469	3.25860271115746e-05	3.25860271115746e-05	0.000195516162669447	6.51720542231491e-05	9.77580813347237e-05	0	0.000162930135557873	6.51720542231491e-05	0.000553962460896767	9.77580813347237e-05	0.00035844629822732	0	6.51720542231491e-05	9.77580813347237e-05	0.000130344108446298	3.25860271115746e-05	0.000162930135557873	9.77580813347237e-05	0	0.000325860271115746	0.000195516162669447	0	0
name59	0.000488790406673618	0.00140119916579771	0.00413842544316997	0.0017922314911366	0.000586548488008342	0.000782064650677789	0.00508342022940563	0.00335636079249218	0.000651720542231491	0.00035844629822732	0.000651720542231491	0.00485531803962461	0	0.000130344108446298	0.00648461939520334	0.000782064650677789	0.000423618352450469	0.0016618873826903	0.00156412930135558	0.000586548488008342	0.00534410844629823	0.000195516162669447	0.00830943691345151	0.000521376433785193	0.00866788321167883	0.000521376433785193	0.00169447340980188	0.000619134515119917	0.00146637122002086	0.000814650677789364	0.000553962460896767	6.51720542231491e-05	0.00228102189781022	0.000619134515119917	0.000228102189781022	0.00283498435870699	0.00035844629822732	0.00159671532846715	6.51720542231491e-05
